customer_id,monthly_txn_volume,avg_days_active,num_services_used,has_mobile_app,complaints_last_3mo,received_retention_offer,churned,segment,region,industry_type,customer_notes
CUST_00000,2872.42,22.0,1,1,1.0,0,0,Mid,CDMX,Healthcare,no contact
CUST_00001,1793.36,24.0,4,1,1.0,0,1,Mid,Querétaro,Healthcare,Late Payment
CUST_00002,1658.74,26.0,2,1,0.0,0,1,Mid,CDMX,Logistics,No recent activity
CUST_00003,1658.76,19.0,4,0,0.0,1,0,Mid,Jalisco,Services,Late Payment
CUST_00004,5579.66,22.0,2,0,0.0,0,0,High,CDMX,Logistics,Potential Upsell
CUST_00005,3440.05,17.0,2,1,0.0,0,1,High,Michoacán,Construction,Requested callback
CUST_00006,1357.29,12.0,4,1,0.0,0,1,Mid,Yucatán,Healthcare,Potential Upsell
CUST_00007,2963.78,11.0,5,0,1.0,0,0,Mid,Baja California,Logistics,no contact
CUST_00008,,,4,0,,0,1,Mid,Hidalgo,Retail,Waiting for renewal
CUST_00009,259.1,13.0,2,1,0.0,0,0,Low,Baja California,Logistics,Requested callback
CUST_00010,805.49,20.0,3,1,0.0,0,0,Low,Baja California,Logistics,Waiting for renewal
CUST_00011,2527.4,2.0,3,0,2.0,1,0,Mid,Hidalgo,Retail,Requested callback
CUST_00012,5238.21,19.0,1,1,0.0,0,0,High,Puebla,Healthcare,Prefers App
CUST_00013,1670.22,15.0,3,1,1.0,0,1,Mid,Michoacán,Logistics,manual_flag
CUST_00014,1269.63,23.0,5,1,2.0,0,0,Mid,Puebla,Services,Late Payment
CUST_00015,2176.81,22.0,2,0,0.0,0,1,Mid,CDMX,Services,Potential Upsell
CUST_00016,1206.34,2.0,4,1,2.0,0,1,Mid,Querétaro,Healthcare,N/A
CUST_00017,1581.29,18.0,4,1,0.0,1,0,Mid,Coahuila,Retail,Waiting for renewal
CUST_00018,1979.16,12.0,5,0,3.0,0,1,Mid,Guanajuato,Logistics,no contact
CUST_00019,768.16,21.0,3,1,1.0,0,0,Low,Guanajuato,Logistics,No recent activity
CUST_00020,3564.07,29.0,2,0,0.0,0,1,High,Nuevo León,Services,Late Payment
CUST_00021,642.22,16.0,3,1,0.0,0,0,Low,Jalisco,Healthcare,Waiting for renewal
CUST_00022,567.35,5.0,1,1,2.0,1,0,Low,CDMX,Healthcare,Potential Upsell
CUST_00023,,,3,0,,0,1,Mid,Guanajuato,Logistics,no contact
CUST_00024,3376.02,23.0,1,0,0.0,0,1,High,Puebla,Logistics,Late Payment
CUST_00025,2277.4,23.0,4,1,0.0,0,0,Mid,Yucatán,Services,no contact
CUST_00026,1826.14,27.0,2,0,1.0,0,1,Mid,CDMX,Healthcare,Requested callback
CUST_00027,1568.86,15.0,1,1,1.0,0,1,Mid,CDMX,Construction,no contact
CUST_00028,1367.89,23.0,3,1,1.0,0,0,Mid,Hidalgo,Construction,no contact
CUST_00029,,,3,1,,0,1,High,Jalisco,Services,manual_flag
CUST_00030,2545.25,27.0,4,1,0.0,0,0,Mid,Jalisco,Retail,N/A
CUST_00031,1460.78,10.0,5,1,0.0,0,1,Mid,Estado de México,Logistics,VIP Client
CUST_00032,1123.93,28.0,5,0,1.0,0,0,Mid,Chiapas,Retail,No recent activity
CUST_00033,,,3,0,,0,1,High,Baja California,Construction,Prefers App
CUST_00034,4060.13,24.0,5,0,1.0,0,0,High,Coahuila,Retail,Requested callback
CUST_00035,3817.45,12.0,2,1,1.0,0,0,High,Chiapas,Services,N/A
CUST_00036,961.26,24.0,5,1,0.0,0,0,Low,Veracruz,Construction,N/A
CUST_00037,1558.2,3.0,2,1,0.0,0,0,Mid,Puebla,Services,Waiting for renewal
CUST_00038,1345.72,3.0,3,1,2.0,0,1,Mid,Baja California,Healthcare,APP USER
CUST_00039,1725.95,7.0,3,1,0.0,0,0,Mid,Sonora,Logistics,no contact
CUST_00040,3541.31,24.0,3,0,1.0,0,1,High,Veracruz,Logistics,No recent activity
CUST_00041,4922.71,20.0,4,0,2.0,0,0,High,CDMX,Healthcare,Late Payment
CUST_00042,2614.18,21.0,5,1,0.0,0,0,Mid,Estado de México,Construction,Potential Upsell
CUST_00043,1157.81,15.0,1,1,0.0,0,1,Mid,Guanajuato,Construction,Requested callback
CUST_00044,1945.01,29.0,1,1,0.0,0,0,Mid,CDMX,Logistics,Waiting for renewal
CUST_00045,5535.05,4.0,3,1,1.0,0,1,High,Chiapas,Retail,Waiting for renewal
CUST_00046,2137.91,8.0,5,1,1.0,0,1,Mid,Jalisco,Healthcare,Potential Upsell
CUST_00047,1571.62,8.0,2,0,2.0,1,1,Mid,Sonora,Healthcare,no contact
CUST_00048,1678.62,5.0,1,1,0.0,0,1,Mid,Nuevo León,Logistics,Waiting for renewal
CUST_00049,2605.82,24.0,3,1,0.0,0,1,Mid,Guanajuato,Retail,Potential Upsell
CUST_00050,990.76,6.0,1,0,2.0,0,0,Low,Yucatán,Construction,No recent activity
CUST_00051,1319.04,18.0,1,1,0.0,0,0,Mid,Guanajuato,Construction,N/A
CUST_00052,3779.73,27.0,1,1,0.0,0,1,High,Estado de México,Healthcare,No recent activity
CUST_00053,2553.75,5.0,3,1,0.0,0,0,Mid,Puebla,Healthcare,Waiting for renewal
CUST_00054,2154.19,24.0,3,0,0.0,0,0,Mid,Chiapas,Logistics,no contact
CUST_00055,3907.22,14.0,4,0,0.0,0,1,High,Michoacán,Services,Potential Upsell
